Product_ID,Product_Category,Product_Sub-Category,Product_Name
OFF-PA-10000174,Hàng điện lạnh,Tủ lạnh,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book"
OFF-LA-10003223,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN FTKC60NVMV-BBB
OFF-ST-10002743,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG V13BPB
OFF-BI-10004094,Hàng điện lạnh,Máy giặt,GBC Standard Plastic Binding Systems Combs
OFF-AR-10003478,Hàng điện lạnh,Máy giặt,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
OFF-PA-10002005,Hàng điện lạnh,Tủ lạnh,Xerox 225
OFF-AR-10002399,Hàng điện lạnh,Máy giặt,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
FUR-CH-10004063,Nội thất,Ghế,Ghế làm việc 2MV2506-M1
OFF-BI-10004632,Hàng điện lạnh,Máy giặt,Ibico Hi-Tech Manual Binding System
OFF-AR-10001662,Hàng điện lạnh,Máy giặt,Rogers Handheld Barrel Pencil Sharpener
TEC-PH-10004977,Hàng điện tử,Phones,GE 30524EE4
TEC-PH-10004539,Hàng điện tử,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster
OFF-FA-10001883,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH CHA 51NVMV
OFF-PA-10000955,Hàng điện lạnh,Tủ lạnh,Miền Đông Nam Bộworth 25% Cotton Granite Tủ lạnh & Tủ lạnh
FUR-FU-10004864,Nội thất,Giường,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
OFF-BI-10003708,Hàng điện lạnh,Máy giặt,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
OFF-AR-10004078,Điện lạnh,Máy giặt,Newell 312
TEC-AC-10001266,Hàng điện tử,Accessories,Memorex Micro Travel Drive 8 GB
OFF-LA-10004272,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN FTKC60NVMV-YTG
FUR-FU-10000965,Nội thất,Giường,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock"
FUR-FU-10000010,Nội thất,Giường,"DAX Value U-Channel Document Frames, Easel Back"
OFF-EN-10001990,Hàng điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW
OFF-EN-10001532,Hàng điện lạnh,Tủ lạnh,Brown Kraft Recycled Tủ lạnh
TEC-AC-10003174,Hàng điện tử,Accessories,Plantronics S12 Corded Telephone Headset System
OFF-BI-10004187,Hàng điện lạnh,Máy giặt,MÁY LẠNH SHARP AH-AP12PMW
OFF-ST-10000025,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG G27PC
FUR-CH-10000422,Nội thất,Ghế,Global Highback Leather Tilter in Burgundy
OFF-ST-10000078,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 015LHJI
FUR-BO-10003034,Nội thất,Kệ sách,"O'Sullivan Elevations Bookcase, Cherry Finish"
OFF-AR-10003514,Hàng điện lạnh,Máy giặt,4009 Highlighters by Sanford
OFF-PA-10002947,Hàng điện lạnh,Tủ lạnh,Xerox 1923
OFF-BI-10003476,Hàng điện lạnh,Máy giặt,Avery Metallic Poly Máy giặt
FUR-BO-10003433,Nội thất,Kệ sách,Sauder Cornerstone Collection Library
TEC-AC-10003628,Hàng điện tử,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
FUR-FU-10001095,Nội thất,Giường,DAX Black Cherry Wood-Tone Poster Frame
TEC-PH-10002154,Hàng điện tử,Phones,AT&T 841000 Phone
OFF-BI-10001575,Hàng điện lạnh,Máy giặt,GBC Linen Binding Covers
OFF-LA-10001074,Điện lạnh,Máy điều hòa,MÁY LẠNH TOSHIBA RAS-H10G2KCV-V
OFF-AP-10000692,Điện lạnh,Máy giặt,Fellowes Mighty 8 Compact Surge Protector
OFF-BI-10003676,Điện lạnh,Máy giặt,"GBC Standard Recycled Report Covers, Clear Plastic Sheets"
OFF-PA-10000659,Điện lạnh,Tủ lạnh,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page"
OFF-EN-10002504,Điện lạnh,Tủ lạnh,"Tyvek  Top-Opening Peel & Seel Tủ lạnh, Plain White"
FUR-BO-10001972,Nội thất,Kệ sách,O'Sullivan 4-Shelf Bookcase in Odessa Pine
TEC-PH-10001061,Hàng điện tử,Phones,Apple iPhone 5C
OFF-AR-10002375,Điện lạnh,Máy giặt,Newell 351
FUR-FU-10003194,Nội thất,Giường,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AR-10003811,Điện lạnh,Máy giặt,Newell 327
OFF-EN-10001539,Điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW
FUR-CH-10002331,Nội thất,Ghế,Ghế đa năng 3FC1004-H
OFF-PA-10002893,Hàng điện lạnh,Tủ lạnh,"Wirebound Service Call Books, 5 1/2"" x 4"""
OFF-ST-10000760,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH REETECH RT9-DD
FUR-FU-10002918,Nội thất,Giường,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
OFF-BI-10000605,Hàng điện lạnh,Máy giặt,"Acco Pressboard Covers with Máy điều hòa Hooks, 9 1/2"" x 11"", Executive Red"
OFF-AP-10002311,Hàng điện lạnh,Máy giặt,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-ST-10003123,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 018LHJI
OFF-AR-10004456,Hàng điện lạnh,Máy giặt,Panasonic KP-4ABK Battery-Operated Pencil Sharpener
FUR-FU-10002268,Nội thất,Giường,Ultra Door Push Plate
OFF-BI-10004364,Hàng điện lạnh,Máy giặt,Storex Dura Pro Máy giặt
OFF-BI-10003091,Hàng điện lạnh,Máy giặt,GBC DocuBind TL200 Manual Binding Machine
FUR-FU-10001889,Nội thất,Giường,Ultra Door Pull Handle
OFF-PA-10001804,Hàng điện lạnh,Tủ lạnh,Xerox 195
